ID,Tok Pisin,English
662,payback,"compensation paid for a wrongdoing, but in reprisal more than revenge"
663,kotim,complain | take to court | take to court
664,olgeta,completely | all | everybody
665,komputa,computer
666,haitim,conceal
667,kisim bel,conceive (a child)
668,singsing,concert | dance and/or sing | festival | sing
669,simen,concrete | cement
670,strongpela susu,condensed milk | cream
671,gumi bilong kok,"condom, contraceptive for males"
672,tokautim sin,confess
673,konpesen,confession
674,tok insait,conscience
675,bel i pas,constipated
676,tultul,consul
677,skruim . . . i go,continue
678,samting bilong pasim bel,contraceptive for females
679,i mekim isi,convenient
680,toktok wantaim,converse with
681,tanim bel | tanim tingting,convert
682,kukim,cook | bake | burn
683,kopra,copra
684,tanget,cordyline plant
685,skru tuptup,corkscrew
686,kon,corn
687,kona,corner
688,ples wokabaut insait long haus,"corridor, hallway"
689,kostim,cost
690,kapuk | koten,cotton-wool
691,kaunsila,councillor
692,kaunim,count (vb) | spell
693,kantri,country (nation)
694,kothaus,courthouse
695,karim leg,courting ceremony involving crossing legs with a partner; literally 'carry leg'  (Highlands)
696,turnim het,courting ceremony involving rubbing faces together
697,kasen,cousin
698,karamapim,cover (vb)
699,tuptup,"cover, lid of something"
700,mangalim,"covet, be jealous of"
701,man bilong pret | pretman,coward
702,kuka,crab
703,kindam,crayfish
704,longlong; waia i lus,crazy
705,boskru bilong balus/sip,crew of plane/ship
706,man nogut,criminal
707,raskol,"criminal | raskol, rascal"
708,pukpuk,crocodile
709,go long hap long,cross (vb)
710,kros,"cross, angry | angry"
711,planti man na meri,crowd
712,het bilong diwai,crown of tree
713,kukamba,cucumber
714,kapti,cup of tea | cup of tea
715,kapet,cupboard
716,kari,curry
717,pilo,cushion | pillow
718,kastet,custard
719,pasin,"custom (way) | behaviour, manner"
720,kastam,customs (n)
721,katim i pundaun | pundaunim,cut down
722,saripim,cut grass with sarip
723,katim gras,cut grass | haircut
724,danis,dance (modern style)
725,i gat samting nogut,dangerous place
726,tudak,dark (colour) | darkness | dark (no light)
727,prut det,dates
728,haptumora,day after tomorrow
729,hapasde,day before yesterday
730,de bilong malolo,day off
731,taim long san,daytime
732,biknait,dead of night | midnight
733,daiman,"dead person, the dead"
734,yaupas,deaf
735,dia,dear (expensive) | expensive
736,kusaiman | man bilong karamapim tok,deceiver
737,bilasim,decorate
738,mwala,decorated armlets made from cone shells used for trade in the Kula Ring islands
739,pekpek,defecate
740,singaut long,demand (vb) | call out to
741,rabisim,"denigrate, make fun of"
742,bikbus,dense bush | jungle
743,dentis | dokta bilong tit | dokta lukautim tit,dentist
744,ples wesan,desert (n)
745,switpela kaikai,dessert
746,kamapim,develop | improve
747,satan | setan,devil
748,dewel,devil | shadow
749,daimen,diamond
750,pekpek wara,diarrhea
751,buk bilong painim mining,dictionary
752,dai pinis,die
753,i hatwok,difficult
754,asua,difficulty
755,hevi,difficulty | heavy | guilt
756,digim,dig
757,rot bilong kaikai,digestive system
758,kaikai long belo,dinner
759,disaipel,disciple
760,lain bilong Jisas,disciples
761,painimautim,discover
762,dis,dish
763,hap laplap bilong wasim plet,dish cloth
764,sutim kaikai,"dish up, serve food"
765,sakim tok,disobey
766,tok pait,dispute | controversy
767,distrik,district
768,brukim sindaun,disturb the peace
769,katim marit,divorce
770,ai i raun,dizzy
771,dokta,"doctor | medical assistant, doctor"
772,nogat!,don't!
773,dabolim,double
774,tubel,doubt | hypocrite
775,trench - baret,"drain, trench"
776,pulim smok,draw on a smoke
777,klinim sua,dress (vb. as in a wound)
778,klos meri,"dress (woman,s)"
779,boamasin,drilling machine
780,dring,drink (n)
781,dringim,drink (vb)
782,gris bilong bulmakau,dripping
783,draivim,drive (vb)
784,draiva,driver
785,kundu,drum
786,spakman,drunkard
787,draibisket,dry biscuit | cracker
788,taim bilong san,dry season | hot season (summer)
789,pato,duck
790,mauspas,dumb
791,i gat dus,dusty
792,pekpek blut,dysentery
793,wanpela narapela,each other
794,Police Motu,"early colonial lingua franca, derived from the Motu language"
795,ol bilas bilong ia,earrings
796,guria,earthquake
797,isi,easy
798,edukeitim,educate
799,maleo,eel
800,et | etpela,eight
801,ating,either/or | probably | I think (so) | seems | perhaps
802,elektrik | elektrisiti,electricity
803,pawa,"electricity | strength, force, power | power"
804,lipt,elevator
805,haus luluai bilong longwe ples,embassy
806,ples nating,empty space
807,birua,"enemy, opponent | accident | have an accident"
808,hamamas tru,enjoy
809,bikpela tru,enormous
810,skin pas,envelope
811,mangal,envy
812,solmarasin,"epsom salts, laxative | laxative"
813,gamtri | kamarere,"eucalyptus tree, gum tree"
814,ai,eve
815,apinun,evening (early | good afternoon | afternoon
816,olgeta man,everybody | everybody
817,olgeta samting,everything
818,long olgeta ples,everywhere
819,wankain olsem,"example, for"
820,tasol i na gat,except
821,taitim bun,exert oneself
822,eksospaip,exhaust pipe
823,so,exhibition | saw so
824,dua i go ausait,exit (n)
