han bilong diwai,branch of tree
han bilong pisin,wing
han bilong siot,sleeve
"han kais, lep han, lephan",left hand
"han tambolo, han daunbilo","forearm, lower arm"
handet yia,century
hangamapim,hang (something) up
hangre,hungry
hangre long dring,thirsty
hani,honey
hankisip,handkerchief
hanpaus,handbag
hanrot,side track/road
hansapim,"bail up, hold up"
hanwara,tributary
hanwara,side stream
"hanwas, klok",watch (n)
hap,half
hap,place
hap,piece
Hap,"area, place"
hap bel,navel
hap bret,piece of bread
hap kaikai bilong asde,leftovers
hap laplap bilong wasim plet,dish cloth
hap pas seven,half past seven
hap ret,purple
"hap san i kamap, or es",east
hap skon,piece of scone
hap tok,"quotation, statement"
"hap, long hap",over-there
hapasde,day before yesterday
hapim,halve
hapka,utility
hapkas,mixed-race
hapkas,half-caste
haptumora,day after tomorrow
hariap,quick
hariap,"hurry, hurry up"
harim,listen
harim,hear
hat,hat
hat,hot
hat,cap
hat ain,helmet
"hat, hatpela; strong, strongpela",hard
"hat, hot, hotpela",hot
hatwok,work hard
hau,how
haus,house
haus,hut
haus,building
haus bilong king,palace
haus bilong pisin,nest
haus bilong tumbuna pasin,museum
haus bilong wasim klos,laundry
"haus kuk, hauskuk, kisen",kitchen
haus lain,long house (Highlands)
haus lotu,temple
haus lotu bilong ol mahomet,mosque
haus luluai bilong longwe ples,embassy
haus mani,bank (n)
haus marasin,pharmacy
haus marit,married quarters
Haus Palamen,House of Parliament
haus pamuk,brothel
haus pater,monastery
haus pekpek man,toilet (men)
haus pekpek meri,toilet (women)
haus piksa,theatre
haus piksa,cinema
haus sik,hospital
haus tambaran,art gallery
haus tambaran,art gallery
haus tambaran,spirit house
haus win,"garden house, summer house"
"haus, long haus",home
"hausboi, hausmeri",servant
"hebsen, pi",peas
hel,hell
het,head
het bilong diwai,crown of tree
het i pen,headache
heven,heaven
hevi,heavy
"hevi, wari",guilt
"hevim seks, wantaim meri, pilai wantaim meri, sutim meri, goapim meri, paulim meri",have sexual intercourse with a woman
hia,here
hide,hide
hiden,heathen
hipim,pile up
holim,hold
holim . . . i stap,contain
holim long tingting or no lusim tingting,remember
holim pas,"keep, detain"
holim skin,make love to
hon,horn
hop,hope
hos,horse
"hostes, e hostes",hostess
hotel,hotel
hotim,heat
huk,hook
hukim pis,catch fish
hul (bilong planim man),grave
husat,who
i ais pinis,frozen
i bikpela samting,important
i bin boilim,boiled
i bin kukim long paia,roast
i bin praim,fried
i dai pinis,dead
i gat,there is
i gat bel,pregnant
i gat biknem,famous
i gat dus,dusty
i gat laip,alive
i gat planti samting,rich
"i gat wara, wet",wet
i gat wok,busy
i go daun tumas,steep
i go long,against
i go long,against
i hat moa,impossible
i hatwok,difficult
i kastim planti mani,valuable
i ken,possible
i laikim tru,interesting
i makim rot,direction
i mekim isi,convenient
i min,"means, (it)"
i na slip,awake
i no brait,narrow
i no daun,shallow
i no dia,cheap
i no gat man,nobody
i no gat man o meri,free (vacant)
i no gat wanpela taim,never
i no hevi,light (weight)
i no naispela,ugly
i no save pret,brave
i no stret,mistake
"i nogat samting, nogat",nothing
i pas,closed
i stap gut,safe
i stap gut,well (health)
i tambu,forbidden
inap,enough
inap long,"up to, until"
inap long,until
inap; ken,"can, could"
independens,independence
Inglis,English
insait,inside
insait long,in
insait long,inside of
insait long han,palm of hand
intaviua,interviewer
isi,easy
isi isi,carefully
Ista,Easter
Janueri,January
jas,judge
jek,jack
jem,jam
Jemeni,Germany
Julai,July
Jun,June
kabis,cabbage
kabureta,carburetor
kago,cargo
kago,goods
kago,baggage
kagoboi,porter
"kai bar, kaibar",cheap takeaway food bar
kaikai,food
kaikai,meal
kaikai long belo,dinner
kaikai long moning,breakfast
kaikaim,bite
kaikaim,eat
kain,"sort, kind"
kain,"kind, sort"
kain singsing na danis,opera
kainkain,all sorts of
kainkain,various kinds of
kais,left
kakao,cocoa
kakaruk,"chook, fowl"
kakaruk,fowl
kakaruk,chicken
kala,colour
kalabus,prison
kalabusim,"lock up, imprison"
kalabusim,imprison
kalabusim,shut up/away
kalabusman,prisoner
kalangal,parakeet
kalap,jump (vb)
kalap,board (a vehicle)
kalap long PM,board a PMV
kalap long PMV,get into a PMV
kalenda,calendar
kam,come
kam,shell as penis covering
kam hariap,come quickly
kamap,come up
kamap,become
"kamap, kamap long",arrive
kamapim,develop
kamapim,improve
kamapim lait,light (colour)
kamapim mani,raise money
kamaut,come out
kamautim (kaukau),harvest (sweet potato)
kambang,"lime juice, lemon drink"
"kambek, kam bek",come back
kamera,camera
kamera piksa,movie camera
kampani,company (firm)
kanaka,indigenous person
kanda,cane
kandel,candle
kandere,"uncle, maternal"
kantri,country (nation)
kanu,canoe
kap,cup
kap bilong ti,tea-cup
kapa,sheet metal
kapa bilong pinga,fingernail
kapet,cupboard
kapiak,breadfruit
kapsaitim,tip
kapsaitim,pour
kapten,captain (of a ship)
kapti,cup of tea
kapti,cup of tea
"kapuk, koten",cotton-wool
"kapul, cuscus",possum
"kar, ka",car
karamap,bundle
karamap,parcel
karamapim,cover (vb)
karamapim tok,ambiguous (be)
karamapim tok,deceive
karamapim tok,"vague, be tok"
karet,carrot
kari,curry
karim,carry
karim leg,courting ceremony involving crossing legs with a partner; literally 'carry leg'  (Highlands)
kas,cards
kas,luck
kasang,peanut
"kasava, tapiok",cassava
kasen,cousin
kaset,cassette
kaskas,scabies
kastam,customs (n)
kastet,custard
kastim,worth
kaswel,castor oil
"kat, katim",cut
katen,carton
katen,cotton
katim buk,lance a boil
katim diwai i pundaun,fell a tree
katim gras,cut grass
katim gras,haircut
"katim i pundaun, pundaunim",cut down
katim long akis/tamiok,chop
katim marit,divorce
katim maritnarakain,annul a marriage
katim singsing long teprikoda,record (vb) a song
katim tok,interrupt
Katolik,Catholic
kaukau,"potato, sweet potato"
kaukau,sweet potato
kaunim,count (vb)
"kaunim, spelim",spell
kaunsel haus,town hall
kaunsila,councillor
kek,cake
kek,pastry
"kes, sutkes, bokis","case, suitcases"
kiap,government officer
kiau,"bulb, light globe"
kiau,egg
kiau bilong golip,pearl
"kibung, kivung, miting",meeting
kik,kick
kikbal,football
kil bilong diwai,buttress root
kil bilong diwai,tap root
kilim,injure
kilim i dai pinis,kill
kilman,murderer
kilogiram,kilogram
kilomita,kilometer
kina,kina (monetary unit 100 toea)
kina,oyster
kina,shell
kindam,crayfish
kindam bilong solwara or liklik kindam,prawn
king,king
kirap,take off (plane)
kirap nogut,surprised
"kirap, sanap",get up
kirapim,begin
kirapim,get someone up from bed
kirapim,establish
kirapim,"found, establish"
kirapim,open (new business)
kisim,receive
kisim,obtain
kisim,get
kisim . . . i kam,fetch
"kisim asua, birua",have an accident
kisim bel,conceive (a child)
kisim long laik,choose
kisim pe,get paid
"kisim win, wiken, malolo",to have a rest
"kisim, bringim",take
klab; stik bilong pait,club
klats,clutch
klaut,cloud
klaut i lait,like (doing something)
klaut i pairap,thunder
klaut i pas,overcast
klia,clear
klia,empty
klin,pure
"klin, klinpela",clean
klinim,clean (vb)
"klinim gaden, tekimaut gras nogut",weed
klinim sua,dress (vb. as in a wound)
klirim,"make clear, explain"
klirim tebol,clear the table
"klok, kilok",clock
"klok, kilok, pam, hat",heart
klos,clothes
klos meri,"dress (woman,s)"
klos was,laundry (clothes)
"klosap, klostu, klostu long","near, nearby"
klostu,almost
koan!,go on!
kok,penis
koki,cockatoo
koki; kalangal,parrot
kokomo,hornbill bird
kokonas,coconut
"kol , kolpela",cold
kol pinis,flat (of battery)
"kolim bel, mekim bel i kol",pacify
kolim nem (bilong yu),say (your) name
kolsinglis,sweatshirt
kom,comb
komputa,computer
kon,corn
kona,corner
konpesen,confession
kopi,coffee
kopra,copra
"koropela, propela",propeller
kos,course
"kostim, kastim",cost
kot,coat
kot,courtyard
kot,court
kothaus,courthouse
kotim,complain
kotim,take to court
kotim,take to court
kotren,overcoat
"kotren, kot ren",raincoat
"kouk, kokakola",Coca-Cola
krai,cry
kranki,wrong
krismas,year (of age)
krismas,Christmas
kristen,Christian
kros,"cross, angry"
kros,angry
krosim,"angry with, be"
krosim,scold
kru bilong het,brain
krungutim,bend (something)
krungutim,crumple (something)
"kuk, kukim",cook
kuka,crab
kukamba,cucumber
kukim,bake
kukim (antap) long paia,grill
kukim bret,bake bread
kukim long paia,barbecue
"kukim, paia",burn
Kula Ring,ring of trading islands in Milne Bay province
kulau,green coconut - kulau
kumu,"potato, wild sweet potato"
"kumu, sayor, grins",greens
"kumu, sayor, grins, saior",vegetables
kumul,Bird of Paradise
kunai,sword grass
"kundu, garamut",drum
kus,"cold, have a"
kus,have a cold
"kusaiman, man bilong karamapim tok",deceiver
kuskus,clerk
"kwait, i no gat nois, no ken mekim nois","quiet, quietly"
Kwantas,Qantas (airline)
kwesten,question
kwik,fast
kwik piksa leta,fax
"kwik, kwiktaim",quickly
kwiktaim,urgently
laik,want
laikim,lime spatula
laikim,love
lain,queue
lain,group
lain,line
lain,learn about
lain bilong Jisas,disciples
"lain, famili",family
lainim,study (vb)
lainim,learn
laipman,living person
"laisens, pemit",licence
lait,light
lait,bright
laita,lighter (cigarette)
laka?,isn't it?
laki,lucky (card game)
lam,lamp
lam bensin,pressure lamp
lang,fly (insect)
lap,laugh
laplap,laplap
laplap,sarong or wraparound
laplap,loincloth
laplap,cloth
laplap bilong alta,altar cloth
"laplap bilong bet, bet sit, bet laplap",sheet
laplap bilong windo,curtain
lapun,old man
lapun; olpela,old
larim,leave behind
larim,"let, allow"
larim,permit (vb)
larim,allow
larim,give up
"lata, step",stairs
"lata, step",steps
laulau,Malay apple
laus,louse
legoim brek,release the brake
lek,leg band
lek (bilong pik),hind leg (of Pig)
lek antap,"leg, upper"
lek bilong pik,ham
"lek daunbilo, lek tamblo","leg, lower"
"lek, fut",foot
lektrik,electric
"les, skin i les/slek, bun i slek",tired
"les, skin i les/slek, bun i slek",weary
lesbaga,"loafer, lazy man"
let bilong karapela,fan belt
"let, paspas bilong bel",belt
leta pas,aerogramme
letabokis,post-box
letis,lettuce
lewa,liver
likim,lick
liklik,quite (long)
liklik,little
liklik,rather
liklik,small
liklik bas,minibus
liklik kaikai or belo,lunch
liklik mun,planet
liklik rat,mouse
"liklik rot, hanrot",track
liklik tru,"least, at"
"limbum, limbung",areca palm
"limonad, muliwara, loliwara",lemonade
"lip, lip bilong diwai",leaf money from Milne Bay province
lipt,elevator
lipti,tea leaves
liptimupim,lift (vb)
lita,litre
litimapim em yet,"boastful, proud"
liva,intestines
lo,law
"loia, loya, loman, saveman long lo",lawyer
lok,lock (n)
lokim,lock (vb)
lokim dua,lock door
loli,"lolly, candy"
loliwara,softdrink
loloi,rolls of shell money strung on lengths of cane
lon,loan
long,tall
long,to
long,than
long,because of
long,along
long,for
long,at
long bek,backwards
long halivim,instead of
long hap,there
long namel long,through
long olgeta ples,everywhere
long sampela hap,somewhere
long taim bilong,during
"long, longpela",long
"longlong, het i pas",mad
"longlong, het i pas",stupid
longlong; waia i lus,crazy
longlongman,mad person
longpela,long (size)
longpela bilong em,height
longpela long olgeta,longest of all
longpela mo,longest
longpela olsem,as long as
longpela taim,"long (time), long ago"
longpela winim olgeta,look
longsok(s),long walk sock(s)
longwe,far
lotu,"religion, worship"
"lotu, haus lotu, sios",church
"lotuim, beten",worship (God)
"luk, lukluk",look after
lukaut long,"careful of, be"
lukaut!,look out!
lukautim,look-alike
lukim,see
lukim yu,see you (bye)
lukim yu behain,"goodbye, bye, see you later"
"lukstilman, man bilong luklukstil",peeping Tom
luluai,chief
lus,lost
"lus, slek",loose
lusim,leave (place)
lusim,set free
lusim,lose
lusim,desert (vb)
lusim,abandon
lusim,spend
lusim dua,unlock door
"lusim, lusim tingting",forget
"lusim, lusim tingting long",forgive
luteran,Lutheran
mafla,muffler
majestret,magistrate
"majik, puripuri, sanguma",magic
mak bilong fut,footprint
makao,tilapia (fish sp.)
makau,tilapia fish (Sepik)
makim,measure (vb)
makim,monument
makim hat o kol,temperature
makmak,multicoloured
mal,G-string
mal,man's bark type or G-string
"malangan, malagan",practice of making totemic figures (also called malangans) to honor the dead
malaria,malaria
maleo,eel
malmalum,soft
